area_name,simple_area_name,cpi_fips,qcew_fips,sae_fips,oi_id,series_id,date,value,yoy_pct_chg,mo2m_annl_chg,mo2m_pct_chg
"Atlanta-Sandy Springs-Roswell, GA",Atlanta,S35C,C1206,1312060,36,CUURS35CSEFV,2023-08-01,387.285,9.92,9.63,1.54
"Atlanta-Sandy Springs-Roswell, GA",Atlanta,S35C,C1206,1312060,36,CUURS35CSEFV,2023-06-01,381.395,10.91,-1.79,-0.3
"Atlanta-Sandy Springs-Roswell, GA",Atlanta,S35C,C1206,1312060,36,CUURS35CSEFV,2023-04-01,382.542,12.37,12.73,2.02
"Atlanta-Sandy Springs-Roswell, GA",Atlanta,S35C,C1206,1312060,36,CUURS35CSEFV,2023-02-01,374.977,11.4,24,3.65
"Atlanta-Sandy Springs-Roswell, GA",Atlanta,S35C,C1206,1312060,36,CUURS35CSEFV,2022-12-01,361.77,9.77,3.82,0.63
"Atlanta-Sandy Springs-Roswell, GA",Atlanta,S35C,C1206,1312060,36,CUURS35CSEFV,2022-10-01,359.517,10.79,12.9,2.04
"Atlanta-Sandy Springs-Roswell, GA",Atlanta,S35C,C1206,1312060,36,CUURS35CSEFV,2022-08-01,352.322,9.8,15.67,2.46
"Atlanta-Sandy Springs-Roswell, GA",Atlanta,S35C,C1206,1312060,36,CUURS35CSEFV,2022-06-01,343.877,8.63,6.23,1.01
"Atlanta-Sandy Springs-Roswell, GA",Atlanta,S35C,C1206,1312060,36,CUURS35CSEFV,2022-04-01,340.431,8.97,7.03,1.14
"Atlanta-Sandy Springs-Roswell, GA",Atlanta,S35C,C1206,1312060,36,CUURS35CSEFV,2022-02-01,336.596,7.59,13.49,2.13
"Atlanta-Sandy Springs-Roswell, GA",Atlanta,S35C,C1206,1312060,36,CUURS35CSEFV,2021-12-01,329.573,3.33,9.76,1.56
"Atlanta-Sandy Springs-Roswell, GA",Atlanta,S35C,C1206,1312060,36,CUURS35CSEFV,2021-10-01,324.495,2.44,6.94,1.13
"Atlanta-Sandy Springs-Roswell, GA",Atlanta,S35C,C1206,1312060,36,CUURS35CSEFV,2021-08-01,320.885,2.18,8.48,1.37
"Atlanta-Sandy Springs-Roswell, GA",Atlanta,S35C,C1206,1312060,36,CUURS35CSEFV,2021-06-01,316.562,2.77,8.25,1.33
"Atlanta-Sandy Springs-Roswell, GA",Atlanta,S35C,C1206,1312060,36,CUURS35CSEFV,2021-04-01,312.408,0.01,-0.87,-0.14
"Atlanta-Sandy Springs-Roswell, GA",Atlanta,S35C,C1206,1312060,36,CUURS35CSEFV,2021-02-01,312.861,0.21,-10.91,-1.91
"Atlanta-Sandy Springs-Roswell, GA",Atlanta,S35C,C1206,1312060,36,CUURS35CSEFV,2020-12-01,318.941,2.78,4.18,0.68
"Atlanta-Sandy Springs-Roswell, GA",Atlanta,S35C,C1206,1312060,36,CUURS35CSEFV,2020-10-01,316.774,2.7,5.33,0.87
